id;name;year;month;day;precip.mm;status1;rainsnow;snowheight;status2;freshsnow;status3;snowtype;status4;snowcovertype;status5
250170050;BRZEG;1952;03;24;3.4;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;03;26;6.3;;S;0;8;0;8;;8;;8
250170050;BRZEG;1952;03;29;11.0;;S;0;8;0;8;;8;;8
250170050;BRZEG;1952;03;31;5.4;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;04;01;11.7;;S;0;8;0;8;;8;;8
250170050;BRZEG;1952;04;07;1.3;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;04;08;7.9;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;04;15;.4;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;04;25;.3;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;04;26;3.5;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;04;27;5.6;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;04;28;5.0;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;05;05;8.7;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;05;07;1.7;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;05;10;4.5;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;05;12;10.8;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;05;14;2.1;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;05;15;5.6;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;05;16;4.8;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;05;17;.5;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;05;18;1.5;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;05;19;.6;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;05;20;1.7;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;05;23;2.6;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;05;24;20.0;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;05;25;2.0;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;05;26;1.4;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;05;27;.2;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;05;29;10.7;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;06;02;1.0;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;06;03;.4;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;06;06;.6;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;06;07;.8;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;06;11;4.8;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;06;14;.7;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;06;15;2.5;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;06;18;4.3;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;06;21;1.1;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;06;22;.4;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;06;23;7.4;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;06;24;8.0;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;06;25;12.0;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;06;26;.4;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;07;12;2.8;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;07;14;3.5;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;07;18;3.3;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;07;19;1.8;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;07;25;1.6;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;07;28;4.2;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;07;29;7.3;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;08;08;4.3;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;08;10;11.1;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;08;17;6.4;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;08;18;3.1;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;08;20;2.4;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;08;22;12.1;;W;0;8;0;8;;8;;8
250170050;BRZEG;1952;09;01;1.4;;W;0;8;0;8;;8;;8
